Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C228",0805,2,1u 50V,C28323
C202,0603,1,47n 50V,C1622
"C203, C209, C217, C218, C220, C221",1206,6,1n 2kV,C9196
"C204, C210, C215, C225, C229",0805,5,100n 100V,C28233
C205,0603,1,100p 50V,C14858
C206,0603,1,22n 50V,C21122
"C207, C213, C214",1206,3,2u2 100V,C170101
C211,C_Elec_8x10.2,1,47u 63V,C72524
C216,0805,1,100p 500V,C107122
"C219, C232",0603,2,1u 50V,C15849
C222,0805,1,330p 500V,C77468
"C223, C224, C226, C230",1206,4,4u7 50V,C29823
C227,0805,1,22u 25V,C45783
C231,C_Elec_6.3x5.4,1,22u 63V,C98744
D101,D_SMA,1,SS210,C14996
D201,SOT-23,1,BAT54S,C7420333
D202,D_SMA,1,SS220,C7420361
"D203, D204",TO-269AA,2,MB10S,C2488
D205,D_SMA,1,1A 1kV 75ns,C412437
"D206, D207",D_SOD-323,2,1N4148WS,C2128
D208,TO-277A,1,150V 10A,C2912069
D210,0603,1,LED green,C72043
D214,D_SMA,1,58V TVS,C115922
"L201, L202, L203, L204",0805,4,600Ω@100MHz (500mA),C1017
L205,L_Sunlord_SWPA4030S,1,3u3,C15269
Q201,PowerPAK_SO-8_Single,1,Si7450DP,C913434
R201,0603,1,4k99,C23046
"R202, R207, R212, R218",0603,4,10k,C25804
R203,0603,1,1k5,C22843
R204,0603,1,6k04,C2759712
R205,0603,1,240k,C4197
R206,0603,1,2k,C22975
"R208, R211",0603,2,49.9k,C23184
R209,0603,1,20k,C4184
R210,0603,1,22k,C31850
R213,0603,1,220,C22962
"R214, R216",0603,2,470,C23179
"R215, R220",0402,2,470,C25117
R217,0402,1,330,C25104
R219,0603,1,15k,C22809
R221,0805,1,39k,C25826
R222,0603,1,100,C22775
R223,0603,1,4E7,C23164
R224,0603,1,1k,C21190
R225,0603,1,274k,C22968
R226,2512,1,0E12 1W,C2934371
R227,2010,1,75 750mW,C172257
R228,0805,1,20,C17544
"R229, R230",2010,2,100 750mW,C171260
R232,0402,1,4k7,C25900
U201,SOP-4_4.4x2.6mm_P1.27mm,1,EL3H7(A)(TA)-G,C181879
U202,SOT-23,1,CJ431,C3113
U203,TSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP2.15x3.35mm,1,TPS23754PWP,C181651
